reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
28,37,8,49,49,0,l,1.9296921999994083,None,0,49,49,21,229.13070129999687,,229.12463029999708,229.13070129999687,230.11511929999688,230.11511929999688,230.11882999999943,232.04819589999897,l,1.9296921999994083,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
17,22,58,50,50,0,t,3.5446723000022757,None,0,50,50,69,232.05904849999934,,232.05224499999895,232.05904849999934,233.04054939999696,233.04054939999696,233.05423619999783,236.58758829999715,t,3.5446723000022757,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
81,125,89,51,51,0,l,4.614809700000478,None,0,51,51,41,236.5959178999983,,236.59184399999867,236.5959178999983,237.57984729999953,237.57984729999953,237.58718509999744,242.19687079999858,l,4.614809700000478,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
29,35,58,52,52,0,t,3.8012039000022924,None,0,52,52,49,242.2037694999999,,242.20055890000003,242.2037694999999,243.1915635999976,243.1915635999976,243.1915635999976,246.99547149999853,t,3.8012039000022924,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
68,96,59,53,53,0,t,1.982704100002593,None,0,53,53,32,247.00468649999675,,246.99833489999946,247.00468649999675,247.99298049999925,247.99298049999925,247.9960355999974,249.976787399999,t,1.982704100002593,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
78,91,88,54,54,0,t,2.345585700000811,None,0,54,54,15,249.98881319999782,,249.9814656999988,249.98881319999782,250.9650948999988,250.9650948999988,250.98475589999725,253.3127115999996,t,2.345585700000811,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
21,27,62,55,55,0,t,2.8478878999994777,None,0,55,55,61,253.32381079999686,,253.31507809999675,253.32381079999686,254.30652709999777,254.30652709999777,254.30971769999815,257.16130519999933,t,2.8478878999994777,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
57,84,155,56,56,0,l,3.234320299998217,None,0,56,56,45,257.1662727999974,,257.1639733999982,257.1662727999974,258.15434809999715,258.15434809999715,258.15728579999995,261.39166999999725,l,3.234320299998217,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
68,96,168,57,57,0,l,3.020297200000641,None,0,57,57,83,261.39970919999905,,261.39430849999917,261.39970919999905,262.38337679999677,262.38337679999677,262.3873648999979,265.40687719999914,l,3.020297200000641,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
78,80,162,58,58,0,t,2.1794604000024265,None,0,58,58,6,265.41326769999796,,265.4099245999969,265.41326769999796,266.39403539999694,266.39403539999694,266.4047303999978,268.57594400000016,t,2.1794604000024265,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
